graph,order,size,time,iterations,error,technique,blocks,threads
"web-BerkStan","685230","7600595","156.448","64","0.0000011427","pagerankCuda","4096","32"
"web-BerkStan","685230","7600595","114.814","64","9.6263e-7","pagerankCuda","4096","64"
"web-BerkStan","685230","7600595","141.753","64","9.7441e-7","pagerankCuda","4096","128"
"web-BerkStan","685230","7600595","237.703","64","9.5907e-7","pagerankCuda","4096","256"
"web-BerkStan","685230","7600595","506.719","64","9.5137e-7","pagerankCuda","4096","512"
"web-BerkStan","685230","7600595","760.535","64","9.5075e-7","pagerankCuda","4096","1024"
"web-BerkStan","685230","7600595","132.474","64","0.0000011427","pagerankCuda","8192","32"
"web-BerkStan","685230","7600595","89.102","64","9.6263e-7","pagerankCuda","8192","64"
"web-BerkStan","685230","7600595","117.357","64","9.7441e-7","pagerankCuda","8192","128"
"web-BerkStan","685230","7600595","226.727","64","9.5907e-7","pagerankCuda","8192","256"
"web-BerkStan","685230","7600595","497.084","64","9.5137e-7","pagerankCuda","8192","512"
"web-BerkStan","685230","7600595","762.32","64","9.5075e-7","pagerankCuda","8192","1024"
"web-BerkStan","685230","7600595","141.036","64","0.0000011427","pagerankCuda","16384","32"
"web-BerkStan","685230","7600595","100.61","64","9.6263e-7","pagerankCuda","16384","64"
"web-BerkStan","685230","7600595","115.346","64","9.7441e-7","pagerankCuda","16384","128"
"web-BerkStan","685230","7600595","223.183","64","9.5907e-7","pagerankCuda","16384","256"
"web-BerkStan","685230","7600595","491.445","64","9.5137e-7","pagerankCuda","16384","512"
"web-BerkStan","685230","7600595","758.19","64","9.5075e-7","pagerankCuda","16384","1024"
"web-BerkStan","685230","7600595","121.36","64","0.0000011427","pagerankCuda","32768","32"
"web-BerkStan","685230","7600595","80.683","64","9.6263e-7","pagerankCuda","32768","64"
"web-BerkStan","685230","7600595","114.693","64","9.7441e-7","pagerankCuda","32768","128"
"web-BerkStan","685230","7600595","223.365","64","9.5907e-7","pagerankCuda","32768","256"
"web-BerkStan","685230","7600595","491.308","64","9.5137e-7","pagerankCuda","32768","512"
"web-BerkStan","685230","7600595","755.408","64","9.5075e-7","pagerankCuda","32768","1024"
"web-Google","916428","5105039","20.169","0","0","pagerankNvgraph","0","0"
"web-Google","916428","5105039","82.198","62","0.0000013662","pagerankCuda","1024","32"
"web-Google","916428","5105039","83.844","62","0.0000013618","pagerankCuda","1024","64"
"web-Google","916428","5105039","157.569","62","0.0000013581","pagerankCuda","1024","128"
"web-Google","916428","5105039","327.123","62","0.0000013573","pagerankCuda","1024","256"
"web-Google","916428","5105039","656.671","62","0.0000013578","pagerankCuda","1024","512"
"web-Google","916428","5105039","1046.119","62","0.000001358","pagerankCuda","1024","1024"
"web-Google","916428","5105039","81.577","62","0.0000013662","pagerankCuda","2048","32"
"web-Google","916428","5105039","83.707","62","0.0000013618","pagerankCuda","2048","64"
"web-Google","916428","5105039","155.708","62","0.0000013581","pagerankCuda","2048","128"
"web-Google","916428","5105039","289.262","62","0.0000013573","pagerankCuda","2048","256"
"web-Google","916428","5105039","611.484","62","0.0000013578","pagerankCuda","2048","512"
"web-Google","916428","5105039","973.569","62","0.000001358","pagerankCuda","2048","1024"
"web-Google","916428","5105039","77.526","62","0.0000013662","pagerankCuda","4096","32"
"web-Google","916428","5105039","82.833","62","0.0000013618","pagerankCuda","4096","64"
"web-Google","916428","5105039","139.149","62","0.0000013581","pagerankCuda","4096","128"
"web-Google","916428","5105039","270.957","62","0.0000013573","pagerankCuda","4096","256"
"web-Google","916428","5105039","609.02","62","0.0000013578","pagerankCuda","4096","512"
"web-Google","916428","5105039","972.556","62","0.000001358","pagerankCuda","4096","1024"
"web-Google","916428","5105039","72.559","62","0.0000013662","pagerankCuda","8192","32"
"web-Google","916428","5105039","76.24","62","0.0000013618","pagerankCuda","8192","64"
"web-Google","916428","5105039","132.004","62","0.0000013581","pagerankCuda","8192","128"
"web-Google","916428","5105039","269.723","62","0.0000013573","pagerankCuda","8192","256"
"web-Google","916428","5105039","605.63","62","0.0000013578","pagerankCuda","8192","512"
"web-Google","916428","5105039","970.347","62","0.000001358","pagerankCuda","8192","1024"
"web-Google","916428","5105039","69.715","62","0.0000013662","pagerankCuda","16384","32"
"web-Google","916428","5105039","73.61","62","0.0000013618","pagerankCuda","16384","64"
"web-Google","916428","5105039","131.17","62","0.0000013581","pagerankCuda","16384","128"
"web-Google","916428","5105039","267.824","62","0.0000013573","pagerankCuda","16384","256"
"web-Google","916428","5105039","601.067","62","0.0000013578","pagerankCuda","16384","512"
"web-Google","916428","5105039","961.637","62","0.000001358","pagerankCuda","16384","1024"
"web-Google","916428","5105039","69.801","62","0.0000013662","pagerankCuda","32768","32"
"web-Google","916428","5105039","73.636","62","0.0000013618","pagerankCuda","32768","64"
"web-Google","916428","5105039","130.845","62","0.0000013581","pagerankCuda","32768","128"
"web-Google","916428","5105039","268.488","62","0.0000013573","pagerankCuda","32768","256"
"web-Google","916428","5105039","600.496","62","0.0000013578","pagerankCuda","32768","512"
"web-Google","916428","5105039","958.278","62","0.000001358","pagerankCuda","32768","1024"
"web-NotreDame","325729","1497134","9.329","0","0","pagerankNvgraph","0","0"
"web-NotreDame","325729","1497134","47.596","58","0.0000025338","pagerankCuda","1024","32"
"web-NotreDame","325729","1497134","45.198","58","0.0000025986","pagerankCuda","1024","64"
"web-NotreDame","325729","1497134","69.298","58","0.0000025989","pagerankCuda","1024","128"
"web-NotreDame","325729","1497134","128.158","58","0.0000026005","pagerankCuda","1024","256"
"web-NotreDame","325729","1497134","241.234","58","0.0000026008","pagerankCuda","1024","512"
"web-NotreDame","325729","1497134","358.982","58","0.0000026","pagerankCuda","1024","1024"
"web-NotreDame","325729","1497134","43.214","58","0.0000025338","pagerankCuda","2048","32"
"web-NotreDame","325729","1497134","41.332","58","0.0000025986","pagerankCuda","2048","64"
"web-NotreDame","325729","1497134","64.583","58","0.0000025989","pagerankCuda","2048","128"
"web-NotreDame","325729","1497134","110.756","58","0.0000026005","pagerankCuda","2048","256"
"web-NotreDame","325729","1497134","224.365","58","0.0000026008","pagerankCuda","2048","512"
"web-NotreDame","325729","1497134","335.8","58","0.0000026","pagerankCuda","2048","1024"
"web-NotreDame","325729","1497134","43.678","58","0.0000025338","pagerankCuda","4096","32"
"web-NotreDame","325729","1497134","41.4","58","0.0000025986","pagerankCuda","4096","64"
"web-NotreDame","325729","1497134","58.918","58","0.0000025989","pagerankCuda","4096","128"
"web-NotreDame","325729","1497134","104.309","58","0.0000026005","pagerankCuda","4096","256"
"web-NotreDame","325729","1497134","221.552","58","0.0000026008","pagerankCuda","4096","512"
"web-NotreDame","325729","1497134","335.666","58","0.0000026","pagerankCuda","4096","1024"
"web-NotreDame","325729","1497134","35.53","58","0.0000025338","pagerankCuda","8192","32"
"web-NotreDame","325729","1497134","35.867","58","0.0000025986","pagerankCuda","8192","64"
"web-NotreDame","325729","1497134","55.305","58","0.0000025989","pagerankCuda","8192","128"
"web-NotreDame","325729","1497134","103.135","58","0.0000026005","pagerankCuda","8192","256"
"web-NotreDame","325729","1497134","219.881","58","0.0000026008","pagerankCuda","8192","512"
"web-NotreDame","325729","1497134","334.8","58","0.0000026","pagerankCuda","8192","1024"
"web-NotreDame","325729","1497134","36.692","58","0.0000025338","pagerankCuda","16384","32"
"web-NotreDame","325729","1497134","34.769","58","0.0000025986","pagerankCuda","16384","64"
"web-NotreDame","325729","1497134","54.909","58","0.0000025989","pagerankCuda","16384","128"
"web-NotreDame","325729","1497134","102.433","58","0.0000026005","pagerankCuda","16384","256"
"web-NotreDame","325729","1497134","218.435","58","0.0000026008","pagerankCuda","16384","512"
"web-NotreDame","325729","1497134","331.883","58","0.0000026","pagerankCuda","16384","1024"
"web-NotreDame","325729","1497134","34.838","58","0.0000025338","pagerankCuda","32768","32"
"web-NotreDame","325729","1497134","34.979","58","0.0000025986","pagerankCuda","32768","64"
"web-NotreDame","325729","1497134","54.953","58","0.0000025989","pagerankCuda","32768","128"
"web-NotreDame","325729","1497134","102.77","58","0.0000026005","pagerankCuda","32768","256"
"web-NotreDame","325729","1497134","218.806","58","0.0000026008","pagerankCuda","32768","512"
"web-NotreDame","325729","1497134","333.623","58","0.0000026","pagerankCuda","32768","1024"
"soc-Slashdot0811","77360","905468","6.735","0","0","pagerankNvgraph","0","0"
"soc-Slashdot0811","77360","905468","14.899","55","0.00014046","pagerankCuda","1024","32"
"soc-Slashdot0811","77360","905468","14.608","55","0.00014046","pagerankCuda","1024","64"
"soc-Slashdot0811","77360","905468","19.561","55","0.00014046","pagerankCuda","1024","128"
"soc-Slashdot0811","77360","905468","33.848","55","0.00014046","pagerankCuda","1024","256"
"soc-Slashdot0811","77360","905468","58.459","55","0.00014046","pagerankCuda","1024","512"
"soc-Slashdot0811","77360","905468","88.222","55","0.00014046","pagerankCuda","1024","1024"
"soc-Slashdot0811","77360","905468","14.057","55","0.00014046","pagerankCuda","2048","32"
"soc-Slashdot0811","77360","905468","14.17","55","0.00014046","pagerankCuda","2048","64"
"soc-Slashdot0811","77360","905468","19.327","55","0.00014046","pagerankCuda","2048","128"
"soc-Slashdot0811","77360","905468","30.997","55","0.00014046","pagerankCuda","2048","256"
"soc-Slashdot0811","77360","905468","55.461","55","0.00014046","pagerankCuda","2048","512"
"soc-Slashdot0811","77360","905468","83.256","55","0.00014046","pagerankCuda","2048","1024"
"soc-Slashdot0811","77360","905468","13.556","55","0.00014046","pagerankCuda","4096","32"
"soc-Slashdot0811","77360","905468","13.971","55","0.00014046","pagerankCuda","4096","64"
"soc-Slashdot0811","77360","905468","18.257","55","0.00014046","pagerankCuda","4096","128"
"soc-Slashdot0811","77360","905468","30.592","55","0.00014046","pagerankCuda","4096","256"
"soc-Slashdot0811","77360","905468","55.666","55","0.00014046","pagerankCuda","4096","512"
"soc-Slashdot0811","77360","905468","83.437","55","0.00014046","pagerankCuda","4096","1024"
"soc-Slashdot0811","77360","905468","13.189","55","0.00014046","pagerankCuda","8192","32"
"soc-Slashdot0811","77360","905468","13.601","55","0.00014046","pagerankCuda","8192","64"
"soc-Slashdot0811","77360","905468","18.139","55","0.00014046","pagerankCuda","8192","128"
"soc-Slashdot0811","77360","905468","30.31","55","0.00014046","pagerankCuda","8192","256"
"soc-Slashdot0811","77360","905468","55.776","55","0.00014046","pagerankCuda","8192","512"
"soc-Slashdot0811","77360","905468","83.271","55","0.00014046","pagerankCuda","8192","1024"
"soc-Slashdot0811","77360","905468","13.012","55","0.00014046","pagerankCuda","16384","32"
"soc-Slashdot0811","77360","905468","13.464","55","0.00014046","pagerankCuda","16384","64"
"soc-Slashdot0811","77360","905468","18.08","55","0.00014046","pagerankCuda","16384","128"
"soc-Slashdot0811","77360","905468","30.449","55","0.00014046","pagerankCuda","16384","256"
"soc-Slashdot0811","77360","905468","56.293","55","0.00014046","pagerankCuda","16384","512"
"soc-Slashdot0811","77360","905468","83.822","55","0.00014046","pagerankCuda","16384","1024"
"soc-Slashdot0811","77360","905468","13.118","55","0.00014046","pagerankCuda","32768","32"
"soc-Slashdot0811","77360","905468","13.562","55","0.00014046","pagerankCuda","32768","64"
"soc-Slashdot0811","77360","905468","18.333","55","0.00014046","pagerankCuda","32768","128"
